Id;Code;Name;Parallel;SubjectId
1;.1.1.1;Информация. Язык как способ представления и передачи информации: естественные и формальные языки;7;27
2;.1.1.4;Знание основ дидактики и педагогики;100;57
3;.1.2.2;Определение главной мысли, основного содержания текста;3;88
4;.1.2.6;Знание взаимосвязи видов искусства;100;57
5;.1.2.7;Постановка вопросов, ответы на вопросы по содержанию произведения, подтверждение ответов примерами из текста;-1;88
6;.1.3.1;Определение автора произведения по звучанию его фрагмента;100;57
7;.2.1.14;Развитие капитализма в дореформенный период. Начало промышленного переворота 1830-1840 гг.;9;31
8;.3.0.1;Вид – основная систематическая категория живого. Признаки  вида;9;9
9;.3.3.4;Роль растений в природе и жизни человека. Ядовитые растения;9;9
10;.3.4.1;Половозрастной состав населения;10;75
11;.3.7.1;Закон Ома для участка цепи;8;77
12;.3.8.2;Мощность тока;8;77
13;.4.11.4;Роль нервной системы в управлении движением мышц;9;9
14;.4.4.2;Газообмен в легких и тканях органов;9;9
15;.4.6;Культурное наследие Нового времени;8;31
16;.4.9.2;Строение кожи, ее придатки. Слизистые оболочки в организме человека;9;9
17;.5.1.1;Задания на хронологию;11;31
18;.5.2.15;Наиболее употребительные глаголы в наиболее употребительных временных формах изъявительного наклонения: Present, Futur simple, Passe compose, Passe proche, Imparfait, Futur proche, Plus-que-parfait, Futur dans le passe в активном залоге;8;82
19;.5.3.3.;Словообразование как средство создания новых слов.Суффиксы существительных: -one/a, - ino/a, -etto/a, -uccio/a, -zione, -mento, -tore, -aio, -iere/a и др. Суффиксы прилагательных: -ino/а, -etto/а, -ello/а, -icello/а,-uccio, -cino/a, -olino/a, -ellino/a, -erello/a и др. Суффикс наречий -mente. Отрицательные префиксы. Префиксы существительных, прилагательных и глаголов: dis-, in-, a-, s-, anti-, de-, co-, re-, ri- и др.;100;34
20;.6.5.2;Конституция - основной закон государства;9;61
21;.9.3.4;Стилистические пласты лексики. Стилистическая окраска лексики. Стилистически нейтральная, высокая и сниженная лексика;8;75
22;02.3.1.;Нахождение и толкование фразеологизмов;8;75
23;02.5.1;Характеристика слова как лексической единицы;6;75
24;03.04.01.;Понятие функционально-смыслового типа речи;5;75
25;03.04.02;Описание как тип речи. Описание предмета;5;75
26;03.1.2.;Значимые части слова (морфемы);6;75
27;05.02.2.;Грамматическая основа предложения;5;75
28;05.04.1.;Типы односоставных предложений;9;75
29;05.14.1.;Синтаксический анализ предложения (обобщение);11;75
30;06.04.2.;Ь после шипящих;7;75
31;06.06.4.;Правописание слов с орфограммами в приставках и после приставок (обобщение);10;75
32;06.08.3.;Н/НН в суффиксах различных частей речи. Обобщение;8;75
33;06.10.4.;Гласные в личных окончаниях глаголов и суффиксах причастий;8;75
34;06.11.7.;Слитное и раздельное написание НЕ с различными частями речи;8;75
35;07.02.1.;Знаки препинания при однородных членах предложения;8;75
36;07.18.1.;Знаки препинания в простых и сложных предложениях с союзом И;7;75
37;07.18.1.;Знаки препинания в простых и сложных предложениях с союзом И;9;75
38;07.19.08;Пунктуационный анализ предложений с вводными конструкциями, обращениями, междометиями;10;75
39;08.01.03;Словообразование и изменение форм слов;5;75
40;08.02.3.;Словообразовательная пара, словообразовательная цепочка;6;75
41;.1.1.2;Методы познания живой природы: наблюдение, описание, измерение, эксперимент;9;9
42;.1.2.12;Князья и дружина. Вечевые порядки;10;31
43;.1.2.2;Знание названий музыкальных инструментов и определение их в музыкальном фрагменте по тембру звучания;100;57
44;.1.2.5;Определение основных событий и восстановление их последовательности;-1;88
45;.1.2.5;Определение основных событий и восстановление их последовательности;3;88
46;.1.4.1;Метапредметный комплекс;100;57
47;.11.4.23;Обособленное определение и приложение. Причастный оборот как разновидность распространенного согласованного определения;8;75
48;.2.1.11;Движение декабристов;9;31
49;.2.1.12;Внутренняя политика во второй четверти XIX века. Николай I;9;11
50;.2.2.1;Выборочное понимание необходимой / запрашиваемой информации в несложных звучащих аутентичных текстах;5;82
51;.2.2.1;Общие признаки живых организмов;9;9
52;.2.2.1;Великие реформы 1860–1870-х гг. Александр II. Отмена крепостного права;9;11
53;.2.2.4;Общественные движения второй половины XIX в.;9;11
54;.2.2.5;Внешняя политика России в 1856 - 1881 гг. РУССКО-ТУРЕЦКАЯ ВОЙНА 1877–1878 ГГ.;9;31
55;.2.3.6;Климат и климатические пояса.;6;12
56;.3.2.1;Тема, коммуникативная установка, основная мысль текста;8;75
57;.3.3.3;Средства связи предложений в тексте (общее представление);8;75
58;.3.9.1;Социальный контроль и самоконтроль;10;61
59;.4.12.4;Вкусовой, обонятельный, кожный и двигательный анализаторы;9;9
60;.4.5.1;Межклеточная жидкость и лимфа как составные части внутренней среды организма человека;9;9
61;.4.6;Культурное наследие Нового времени;8;32
62;.4.8.1;Удаление из организма конечных продуктов обмена веществ. Значение процесса выделения для организма;9;9
63;.5.1.1;Информационная революция и становление информационного общества;10;11
64;.5.2.14;Предложения с неличными формами глагола (infinitif, participe present, participe passe, gerondif);5;82
65;.6.1.2;Конструирование обществоведческого текста;11;61
66;.8.1.3;Установление соответствия между видами норм (отраслей права) и примерами;7;61
67;01.04.01.;Сравнение многозначных чисел;4;48
68;01.1.1.;Количественное соотношение звуков и букв в слове;5;75
69;03.02.01.;Запись числового выражения и вычисление его значения;4;48
