"ResultId","Source","ParticipantId","StudentParallel","TestDate","Mark","MaxMark","SubjectId","Partition"
"187000","0","C70E4C52-34C9-4FBE-9B52-4B78AE43C2DA","11","2019-11-08 16:52:48","25","33","75","1"
"239604","0","20647873-4AA8-42E3-B7FE-51DE8E0BEAF5","11","2020-03-20 15:04:34","12","30","77","1"
"239606","0","4DFEFA69-EB35-44BD-B239-6AA4DE66F866","11","2020-03-20 15:06:20","24","31","86","1"
"239611","0","B4816FC2-CAF4-47EE-8AC7-73E32767E771","11","2020-03-20 15:16:21","27","31","86","1"
"239636","0","DFCBA91A-0BE5-4EB9-899E-D0166882F392","11","2020-03-23 10:01:31","26","31","9","1"
"239645","0","2ED862CE-C4B4-448F-B6CB-CC14570BC052","11","2020-03-23 10:38:32","0","31","9","1"
"239672","0","DDB8202E-CB41-4C0C-919B-2C64E8D5AFCD","11","2020-03-23 11:20:44","15","25","75","1"
"239673","0","C6F4B4AA-F465-4D91-B194-06FAF2079611","11","2020-03-23 11:21:05","19","25","75","1"
"239675","0","0AB3888E-9B7C-42C9-82E6-8AD3CE14D419","11","2020-03-23 11:23:16","21","40","61","1"
"239681","0","8C6A7DFE-4FC5-4529-BBAE-866CA92C662B","11","2020-03-23 11:31:06","21","30","77","1"
"239685","0","44A8D445-45D8-4408-B631-1A7D691389D5","11","2020-03-23 11:37:29","11","16","27","1"
"239696","0","FF2D24AD-7556-4CA4-BDA7-D2A2C5752B28","11","2020-03-23 12:30:05","17","25","75","1"
"239701","0","75E2D674-79A6-45D2-8EE8-FDC601F705A5","11","2020-03-23 12:30:16","21","25","75","1"
"239706","0","6781A43B-0FF9-474C-8E34-397DC5C2A252","11","2020-03-23 12:30:51","13","25","75","1"
"239712","0","B4816FC2-CAF4-47EE-8AC7-73E32767E771","11","2020-03-23 12:33:04","17","25","75","1"
"239723","0","D47AFB0E-BBB3-4FD6-A3E1-8BFCB673790D","11","2020-03-23 12:39:41","14","25","75","1"
"239730","0","D377E22F-A0EB-4429-95E3-AFDE93AF8729","11","2020-03-23 12:47:15","8","17","27","1"
"239745","0","0DD9D57C-E954-49A7-9DAA-74F0C6CAD519","11","2020-03-23 13:45:42","15","25","75","1"
"239751","0","19E7C1C7-4F92-4F13-AC2D-50491A4A53D8","11","2020-03-23 13:53:18","18","25","75","1"
"239754","0","63BDA29F-FAB5-4CB5-9401-FD9DD49077AC","11","2020-03-23 13:58:50","14","30","77","1"
"239757","0","EA8A7481-7BDB-4AD6-A56B-D15EFEEE914F","11","2020-03-23 14:07:52","22","40","61","1"
"239771","0","75E2D674-79A6-45D2-8EE8-FDC601F705A5","11","2020-03-23 15:01:20","16","16","27","1"
"239796","0","8BFF3FC8-B66E-47BA-8964-9211C5C3B152","11","2020-03-23 16:29:41","8","25","75","1"
"239840","0","CD07DA33-79C9-4A89-AB87-27B990F83865","11","2020-03-24 08:55:47","21","27","9","1"
"239841","0","A87C9FAB-94D4-4C60-9237-7940F0F3E978","11","2020-03-24 08:55:58","17","25","75","1"
"239854","0","FD2EFC97-95AA-4650-8263-32F20E70C770","11","2020-03-24 09:31:25","11","27","9","1"
"239858","0","2B549C27-831A-4B24-941E-EBBF2116295B","11","2020-03-24 09:35:40","7","14","48","1"
"239859","0","D1E7797E-CD75-402D-8630-49F5102011B6","11","2020-03-24 09:35:57","0","14","48","1"
"239926","0","4DFEFA69-EB35-44BD-B239-6AA4DE66F866","11","2020-03-24 15:00:02","17","31","86","1"
"239937","0","B4816FC2-CAF4-47EE-8AC7-73E32767E771","11","2020-03-24 15:00:21","21","27","9","1"
"239944","0","95767ABB-47E1-4101-8D55-5E6A2ED7E9FA","11","2020-03-24 15:03:35","13","25","75","1"
"239946","0","77F108A1-99B0-416B-BAA2-AA4A2AD85D6A","11","2020-03-24 15:04:18","20","27","9","1"
"239950","0","DDB8202E-CB41-4C0C-919B-2C64E8D5AFCD","11","2020-03-24 15:05:53","18","40","61","1"
"239958","0","8C6A7DFE-4FC5-4529-BBAE-866CA92C662B","11","2020-03-24 15:10:25","23","25","75","1"
"240028","0","EBCE13AE-7518-4FE2-9E31-A49F9FBCA036","11","2020-03-25 09:17:46","27","40","61","1"
"240031","0","7E9097DE-65F4-480D-A5E2-5AC4A77525AB","11","2020-03-25 09:19:59","30","31","86","1"
"240032","0","6781A43B-0FF9-474C-8E34-397DC5C2A252","11","2020-03-25 09:20:18","10","30","77","1"
"240033","0","5E3A58C9-0283-4885-97F1-DA1675A19BD2","11","2020-03-25 09:21:38","19","25","75","1"
"240046","0","B3C9B87D-3000-44B7-8DC3-A30D8CE90DDE","11","2020-03-25 09:38:27","15","17","27","1"
"240103","0","77F108A1-99B0-416B-BAA2-AA4A2AD85D6A","11","2020-03-25 16:01:55","16","25","75","1"
"240105","0","B4816FC2-CAF4-47EE-8AC7-73E32767E771","11","2020-03-25 16:03:04","26","31","86","1"
"240111","0","EBCE13AE-7518-4FE2-9E31-A49F9FBCA036","11","2020-03-25 16:05:52","13","31","86","1"
"240116","0","59EE9139-B00F-4D56-B453-E2DCB1750EB3","11","2020-03-25 16:09:01","19","27","9","1"
"240121","0","8BFF3FC8-B66E-47BA-8964-9211C5C3B152","11","2020-03-25 16:16:10","18","27","9","1"
"240123","0","9D027A7F-14C3-43EF-B197-F682C0A4F40F","11","2020-03-25 16:26:32","37","53","31","1"
"240127","0","55135C72-D1F7-4EF0-80DC-274D75CD0BEB","11","2020-03-25 17:30:04","22","31","86","1"
"240128","0","6FBD6131-7FE5-497E-997F-BB1230F3BD85","11","2020-03-25 17:30:04","20","25","75","1"
"240131","0","0E755882-A7DB-464A-AA7C-16E4188CCC89","11","2020-03-25 17:30:05","10","27","9","1"
"240144","0","801B80D1-1531-46FB-B258-0251B6671C3A","11","2020-03-25 17:33:25","20","25","75","1"
"240146","0","46265044-4A12-4214-8B0E-5D5CD535AF32","11","2020-03-25 17:34:24","8","27","9","1"
"240147","0","EBCE13AE-7518-4FE2-9E31-A49F9FBCA036","11","2020-03-25 17:35:57","42","53","31","1"
"240150","0","33569004-ACAA-4924-BF0C-C41D3DC5DAAF","11","2020-03-25 17:37:33","13","25","75","1"
"240158","0","32E30A3B-8931-425B-B68E-2DB74D92310C","11","2020-03-25 17:54:41","17","27","9","1"
"240162","0","865FBF3A-E947-4A6A-9688-FFE5D46B2617","11","2020-03-25 18:35:02","0","17","27","1"
"240189","0","2B549C27-831A-4B24-941E-EBBF2116295B","11","2020-03-26 09:21:00","12","14","48","1"
"240198","0","2840255E-E07F-4029-AC0B-014A397B5BBD","11","2020-03-26 09:26:02","7","14","48","1"
"240202","0","ABDDDC51-0F75-49AD-A5DE-75264120CA63","11","2020-03-26 09:27:59","12","14","48","1"
"240206","0","E2E1F24F-1537-4560-9F98-FF386D5E61CF","11","2020-03-26 09:29:41","44","53","31","1"
"240222","0","D377E22F-A0EB-4429-95E3-AFDE93AF8729","11","2020-03-26 11:00:22","2","25","77","1"
"240226","0","EBCE13AE-7518-4FE2-9E31-A49F9FBCA036","11","2020-03-26 11:02:18","8","30","44","1"
"240240","0","41FE5EF9-7D51-488E-959D-EEB7F44945F6","11","2020-03-26 11:08:55","25","34","61","1"
"240247","0","F1E877AB-29A8-49E8-A93B-F180E29BD177","11","2020-03-26 11:12:04","28","31","86","1"
"240252","0","8DA710D5-CD2C-4E7C-9113-D51F404753F1","11","2020-03-26 11:21:18","21","34","61","1"
"240267","0","EBCE13AE-7518-4FE2-9E31-A49F9FBCA036","11","2020-03-26 12:15:23","4","25","77","1"
"240270","0","E1240A61-F73E-4B48-8A3C-44BC2D1C3BCC","11","2020-03-26 12:16:49","10","22","44","1"
"240283","0","291A16AA-BF72-4D71-8F90-B23F6F6F85BA","11","2020-03-26 12:26:00","11","14","48","1"
"240294","0","77F108A1-99B0-416B-BAA2-AA4A2AD85D6A","11","2020-03-26 13:30:03","12","31","86","1"
"240299","0","B4816FC2-CAF4-47EE-8AC7-73E32767E771","11","2020-03-26 13:30:24","19","25","75","1"
"240310","0","8C6A7DFE-4FC5-4529-BBAE-866CA92C662B","11","2020-03-26 13:38:52","25","30","77","1"
"240311","0","6B0F1A73-A694-45A6-BDD1-D27001347D9D","11","2020-03-26 13:42:17","22","40","61","1"
"240313","0","89E1B511-5C56-4A4A-B10C-5DE163082AB0","11","2020-03-26 13:47:19","27","31","86","1"
