"Id","ParticipantId","StudentParallel","TestDate","Mark","MaxMark","SubjectId","Partition"
"2369230","594F27DE-1479-476C-8CB6-A76EA1AB25C9","9","2019-09-01 00:03:20","0","10","27","1"
"2370235","C4285D8C-9B23-43C8-AECD-EC4271D48A59","10","2019-09-01 10:38:27","14","21","86","1"
"2375593","9B7CD84C-BEB9-492A-B878-49A4750D805B","9","2019-09-01 17:36:53","8","12","75","1"
"2375717","9B7CD84C-BEB9-492A-B878-49A4750D805B","9","2019-09-01 17:50:07","3","12","75","1"
"2375739","9B7CD84C-BEB9-492A-B878-49A4750D805B","9","2019-09-01 17:53:20","7","10","27","1"
"2376094","9B7CD84C-BEB9-492A-B878-49A4750D805B","9","2019-09-01 18:35:13","3","10","48","1"
"2376227","3436A5EA-45D1-4DDC-A2CE-1365899FF2EF","8","2019-09-01 18:49:42","0","10","48","1"
"2376856","95B7BEB5-8FF5-4FC6-9C97-7F5A5EDE9898","10","2019-09-01 19:48:11","0","33","32","1"
"2376906","128299FE-B0A2-4BF1-9D3B-02A84BFB8B64","10","2019-09-01 19:52:57","2","33","61","1"
"2377356","31FF5D85-00F0-4435-B5AA-D66C53618D00","10","2019-09-01 20:39:23","3","12","75","1"
"2377410","31FF5D85-00F0-4435-B5AA-D66C53618D00","10","2019-09-01 20:44:34","0","10","27","1"
"2378079","6E53EE2B-41A3-4E21-A140-4C3905423521","9","2019-09-01 22:18:37","6","12","75","1"
"2378158","1881D7D6-E714-4186-AF42-F9188CCF9E74","10","2019-09-01 22:39:21","10","12","75","1"
"2378168","6E53EE2B-41A3-4E21-A140-4C3905423521","9","2019-09-01 22:42:22","0","12","75","1"
"2378201","1881D7D6-E714-4186-AF42-F9188CCF9E74","10","2019-09-01 22:52:09","14","24","9","1"
"2378746","9C4F107F-07EA-464A-8CF4-C5434BBBDB59","11","2019-09-02 10:59:18","3","15","27","1"
"2378753","B08F3A3C-3457-48F4-B8E1-680F960C822E","11","2019-09-02 11:00:56","9","15","27","1"
"2378770","550D7B73-7D3C-4F56-BBC1-5F20824D17F9","11","2019-09-02 11:06:29","4","15","27","1"
"2379731","6CF20C00-F870-4FAA-AF19-B9B197DCDE57","8","2019-09-02 15:02:15","5","12","75","1"
"2380044","719CE77E-11D3-4CCC-8978-FD62F2091944","10","2019-09-02 15:49:18","0","19","77","1"
"2380304","654C41CA-9306-4331-858B-DE99A8657C37","10","2019-09-02 16:19:50","7","12","75","1"
"2380364","184EC148-7AFF-4B2E-84B8-9029755EFD20","9","2019-09-02 16:25:10","9","32","48","1"
"2380636","654C41CA-9306-4331-858B-DE99A8657C37","10","2019-09-02 16:51:57","11","12","75","1"
"2381764","CF336DB6-03E3-488C-A4BE-7E4BDEC1F709","10","2019-09-02 18:57:52","8","12","75","1"
"2382326","1AAF1DD7-B63D-4908-ADAE-CD4EC48A3E8A","10","2019-09-02 19:56:58","1","24","9","1"
"2382415","7008C9C5-46BC-4ACA-BE55-37EE703C6B44","10","2019-09-02 20:04:19","6","10","48","1"
"2382982","594F27DE-1479-476C-8CB6-A76EA1AB25C9","9","2019-09-02 20:59:46","9","12","75","1"
"2383196","594F27DE-1479-476C-8CB6-A76EA1AB25C9","9","2019-09-02 21:29:20","7","28","4","1"
"2383945","550D7B73-7D3C-4F56-BBC1-5F20824D17F9","11","2019-09-03 08:35:29","12","15","27","1"
"2383950","B08F3A3C-3457-48F4-B8E1-680F960C822E","11","2019-09-03 08:36:38","7","15","27","1"
"2383960","9C4F107F-07EA-464A-8CF4-C5434BBBDB59","11","2019-09-03 08:41:34","14","15","27","1"
"2383969","6E3B06CE-7331-4B3C-A3DA-BBFCC9CECA1B","10","2019-09-03 08:53:35","0","10","27","1"
"2383970","5D931278-51EC-4732-B104-95055E7DB378","10","2019-09-03 08:53:45","1","10","27","1"
"2383975","9C7CA86F-755B-4495-9448-89100540753D","9","2019-09-03 08:54:51","1","10","27","1"
"2383977","809EFF3E-3BC2-4040-B18A-642188443236","10","2019-09-03 08:54:55","4","10","27","1"
"2384095","5FE0EBCA-CF85-43EE-AB5D-B1D2171E33DA","-1","2019-09-03 09:49:54","14","55","32","1"
"2384221","3B6D73E9-1933-4D26-9B30-45555FD9561C","10","2019-09-03 10:27:30","7","12","75","1"
"2384888","AB5477CE-AF2F-4625-AD29-4041D4451F87","11","2019-09-03 13:56:41","14","15","27","1"
"2385118","DE741AD4-A441-4945-856F-E4337978583D","10","2019-09-03 14:57:09","0","10","27","1"
"2385133","82D7F060-F6F6-40A4-8B0B-009FA55324E8","10","2019-09-03 14:58:56","0","10","27","1"
"2385136","566A8A93-D538-433B-BCED-EA04F3601DBE","10","2019-09-03 14:59:03","0","10","27","1"
"2385144","D2B9CF48-C608-4D98-8DC5-B6CDF00D8CEF","10","2019-09-03 15:00:01","0","10","27","1"
"2385154","C161F3D6-5313-413E-A8C9-90221159AE70","10","2019-09-03 15:02:13","1","10","27","1"
"2385157","2965BA87-E493-4409-A31A-701AA56C6A9E","10","2019-09-03 15:02:49","1","10","27","1"
"2385170","75E02DB8-0422-4D6E-9489-D3D0A005FC7D","10","2019-09-03 15:04:48","0","10","27","1"
"2385225","DE741AD4-A441-4945-856F-E4337978583D","10","2019-09-03 15:11:36","0","10","27","1"
"2385228","DE741AD4-A441-4945-856F-E4337978583D","10","2019-09-03 15:11:46","0","10","27","1"
"2385234","DE741AD4-A441-4945-856F-E4337978583D","10","2019-09-03 15:12:34","0","10","27","1"
"2385235","DE741AD4-A441-4945-856F-E4337978583D","10","2019-09-03 15:12:43","1","10","27","1"
"2385398","222DBF7E-032A-4625-B95B-DE2233F4A123","10","2019-09-03 15:46:01","0","19","77","1"
"2385664","C1D823B7-840B-469A-AB59-8C802C61CC21","11","2019-09-03 16:25:13","2","12","75","1"
"2386491","D187D810-3C23-47CC-BB5E-AED264A5E72C","8","2019-09-03 18:09:40","0","33","75","1"
